,hostel.name,City,price.from,Distance,summary.score,rating.band,atmosphere,cleanliness,facilities,location.y,security,staff,valueformoney,lon,lat
90,Guest House Hitsuji-An,Kyoto,2200,1.3km from city centre,9.8,Superb,9.5,10,9.5,10,10,10,9.5,135.75435,35.009679
91,Guest House Hokorobi,Fukuoka-City,2400,6km from city centre,8.4,Fabulous,7.7,8.5,8.5,7.5,9.5,8.7,8.7,NA,NA
92,Guest House Kaine,Fukuoka-City,2500,0.7km from city centre,8.9,Fabulous,10,9,8.5,9,7.5,10,8.5,130.403731,33.596604
93,Guest House Kyoto Inn,Kyoto,1500,3.3km from city centre,8.9,Fabulous,8.7,9.4,9,8.1,8.6,9.4,8.9,135.743165,34.990043
94,Guest House La Kongo,Osaka,2500,4.2km from city centre,7.8,Very Good,6,8,7.5,9,8,8.5,7.5,135.5078668,34.6687802
95,Guest House Matsu,Osaka,1900,7.4km from city centre,9.3,Superb,9,9.7,9.2,8.7,9.3,9.7,9.5,135.495148,34.640747
96,Guest House ODORI,Osaka,2800,7.9km from city centre,8.6,Fabulous,10,10,8,6,8,8,10,135.5231371,34.6372998
97,Guest House Onoya,Osaka,2000,3.3km from city centre,9.4,Superb,9.5,10,10,8,9,10,9.5,135.5376482,34.7025957
98,Guest House Renjishi Kabuki,Kyoto,1500,2.5km from city centre,8.7,Fabulous,8,8.9,7.9,8.7,9,9.8,8.6,135.7505144,34.9949044
99,Guest House Roku,Hiroshima,2900,2.7km from city centre,9.3,Superb,9.5,9.5,9,9,9.2,9.8,9.4,132.465716,34.4074787
100,Guest House Shinagawa-shuku Tokyo,Tokyo,3300,8.7km from city centre,9.2,Superb,9,9.3,9.3,8.7,9,10,9,139.7403581,35.6217794
101,Guest House Shiori Ann,Kyoto,1500,2km from city centre,8.9,Fabulous,6,8,10,9,10,9,10,135.759117,34.994889
102,Guest House TRACE,Tokyo,2700,8.7km from city centre,7.7,Very Good,6,6,6,8,10,8,10,NA,NA
103,Guest House Yahata,Kyoto,2500,2km from city centre,8.6,Fabulous,7.5,9.5,8.5,8,9.8,8.5,8.5,135.754772,34.9976055
104,Guest House YULULU,Kyoto,1500,0.5km from city centre,8.6,Fabulous,8.3,8.6,7.8,9.5,8.5,9.4,8.3,135.7626322,35.0098862
105,Guesthouse Fete,Tokyo,2300,9.7km from city centre,9.4,Superb,9.8,9.2,8.9,8.8,9.5,9.9,9.4,139.7981,35.701441
106,Guesthouse Fujitatami,Osaka,2200,26.6km from city centre,9.1,Superb,9.8,9.8,9.3,6.8,9,9.8,9.3,135.4575132,34.4698056
107,Guesthouse Gloire,Osaka,2800,3.9km from city centre,7.1,Very Good,8,8,8,4,6,8,8,135.511096,34.67197
108,Guesthouse HetoGep,Osaka,2500,4.5km from city centre,9.1,Superb,9.2,8.4,9.2,10,8.8,9.6,8.8,135.5049204,34.6662004
109,Guesthouse Hiroshima Mange Tak,Hiroshima,2800,1.4km from city centre,9.5,Superb,8.9,9.8,9.4,9.6,9.6,9.7,9.3,132.445801,34.3952854
110,Guesthouse Kagaribi,Tokyo,2200,11.8km from city centre,8.3,Fabulous,8,8.8,8,6.8,8,9.6,8.8,139.7957726,35.7539265
111,Guesthouse Morizou Female only,Osaka,2000,3.7km from city centre,10,Superb,10,10,10,10,10,10,10,135.526955,34.6800923
112,Guesthouse Origami,Kyoto,1500,1.7km from city centre,8.1,Fabulous,7.7,7.1,7.7,8.6,8.6,8.9,8,NA,NA
113,Guesthouse SAI,Osaka,1800,7km from city centre,8.9,Fabulous,7.6,10,9.6,7.6,9.2,9.2,9.2,135.5661389,34.7412826
114,Guesthouse Sensu,Tokyo,3300,15.7km from city centre,9.3,Superb,8,10,9.5,9,9,10,9.5,139.7405231,35.553499
115,Guesthouse Shitamachi-Kujo,Kyoto,1900,3.9km from city centre,9.1,Superb,10,10,8,8,10,10,8,135.762166,34.977079
116,Guesthouse Soi,Kyoto,1700,2.4km from city centre,9.5,Superb,9.4,9.6,9.6,8.8,9.4,9.8,9.8,135.7776103,34.9917216
117,Guesthouse U-En,Osaka,2300,1.9km from city centre,9.5,Superb,9.3,9.6,9.3,9.4,9.4,9.8,9.5,135.4865055,34.6946473
118,Harborside Guest House MINATO,Fukuoka-City,2500,1.5km from city centre,8.4,Fabulous,7.5,9,8.5,7,9.5,9,8.5,130.406397,33.603186
119,HARUYA Hostels Aqua,Kyoto,1500,3.1km from city centre,9,Superb,9,9,9,9,9,9,9,135.748695,34.988516
120,HATAGO tenjin,Fukuoka-City,2300,0.6km from city centre,8.4,Fabulous,8.7,8.7,8.7,10,7.3,7.3,8,130.3976545,33.5946282
121,Hikari House,Tokyo,4000,1.4km from city centre,7.6,Very Good,6.3,8,6.8,9.4,6.9,8.6,7.6,139.7019965,35.6991367
