ResourceType      Locations           Name                    Zones    Restrictions
----------------  ------------------  ----------------------  -------  --------------
disks             westus              Premium_LRS                      None
disks             westus              Premium_LRS                      None
disks             westus              Premium_LRS                      None
disks             westus              Premium_LRS                      None
disks             westus              Premium_LRS                      None
disks             westus              Premium_LRS                      None
disks             westus              Premium_LRS                      None
disks             westus              Premium_LRS                      None
disks             westus              Premium_LRS                      None
disks             westus              Premium_LRS                      None
disks             westus              Premium_LRS                      None
disks             westus              Premium_LRS                      None
disks             westus              Premium_LRS                      None
disks             westus              Premium_LRS                      None
disks             westus              StandardSSD_LRS                  None
disks             westus              StandardSSD_LRS                  None
disks             westus              StandardSSD_LRS                  None
disks             westus              StandardSSD_LRS                  None
disks             westus              StandardSSD_LRS                  None
disks             westus              StandardSSD_LRS                  None
disks             westus              StandardSSD_LRS                  None
disks             westus              StandardSSD_LRS                  None
disks             westus              StandardSSD_LRS                  None
disks             westus              StandardSSD_LRS                  None
disks             westus              StandardSSD_LRS                  None
disks             westus              StandardSSD_LRS                  None
disks             westus              StandardSSD_LRS                  None
disks             westus              StandardSSD_LRS                  None
disks             westus              UltraSSD_LRS                     None
disks             northeurope         Standard_LRS            1,2,3    None
disks             northeurope         Standard_LRS            1,2,3    None
disks             northeurope         Standard_LRS            1,2,3    None
disks             northeurope         Standard_LRS            1,2,3    None
disks             northeurope         Standard_LRS            1,2,3    None
disks             northeurope         Standard_LRS            1,2,3    None
disks             northeurope         Standard_LRS            1,2,3    None
disks             northeurope         Standard_LRS            1,2,3    None
disks             northeurope         Standard_LRS            1,2,3    None
disks             northeurope         Standard_LRS            1,2,3    None
disks             northeurope         Standard_LRS            1,2,3    None
disks             northeurope         Premium_LRS             1,2,3    None
disks             northeurope         Premium_LRS             1,2,3    None
disks             northeurope         Premium_LRS             1,2,3    None
disks             northeurope         Premium_LRS             1,2,3    None
disks             northeurope         Premium_LRS             1,2,3    None
disks             northeurope         Premium_LRS             1,2,3    None
disks             northeurope         Premium_LRS             1,2,3    None
disks             northeurope         Premium_LRS             1,2,3    None
disks             northeurope         Premium_LRS             1,2,3    None
disks             northeurope         Premium_LRS             1,2,3    None
disks             northeurope         Premium_LRS             1,2,3    None
disks             northeurope         Premium_LRS             1,2,3    None
disks             northeurope         Premium_LRS             1,2,3    None
disks             northeurope         Premium_LRS             1,2,3    None
disks             northeurope         StandardSSD_LRS         1,2,3    None
disks             northeurope         StandardSSD_LRS         1,2,3    None
disks             northeurope         StandardSSD_LRS         1,2,3    None
disks             northeurope         StandardSSD_LRS         1,2,3    None
disks             northeurope         StandardSSD_LRS         1,2,3    None
disks             northeurope         StandardSSD_LRS         1,2,3    None
disks             northeurope         StandardSSD_LRS         1,2,3    None
disks             northeurope         StandardSSD_LRS         1,2,3    None
disks             northeurope         StandardSSD_LRS         1,2,3    None
disks             northeurope         StandardSSD_LRS         1,2,3    None
disks             northeurope         StandardSSD_LRS         1,2,3    None
disks             northeurope         StandardSSD_LRS         1,2,3    None
disks             northeurope         StandardSSD_LRS         1,2,3    None
disks             northeurope         StandardSSD_LRS         1,2,3    None
disks             northeurope         UltraSSD_LRS            1,2,3    None
disks             eastasia            Standard_LRS                     None
disks             eastasia            Standard_LRS                     None
disks             eastasia            Standard_LRS                     None
disks             eastasia            Standard_LRS                     None
disks             eastasia            Standard_LRS                     None
disks             eastasia            Standard_LRS                     None
disks             eastasia            Standard_LRS                     None
disks             eastasia            Standard_LRS                     None
disks             eastasia            Standard_LRS                     None
disks             eastasia            Standard_LRS                     None
disks             eastasia            Standard_LRS                     None
disks             eastasia            Premium_LRS                      None
disks             eastasia            Premium_LRS                      None
disks             eastasia            Premium_LRS                      None
disks             eastasia            Premium_LRS                      None
disks             eastasia            Premium_LRS                      None
disks             eastasia            Premium_LRS                      None
disks             eastasia            Premium_LRS                      None
disks             eastasia            Premium_LRS                      None
disks             eastasia            Premium_LRS                      None
disks             eastasia            Premium_LRS                      None
disks             eastasia            Premium_LRS                      None
disks             eastasia            Premium_LRS                      None
disks             eastasia            Premium_LRS                      None
disks             eastasia            Premium_LRS                      None
disks             eastasia            StandardSSD_LRS                  None
disks             eastasia            StandardSSD_LRS                  None
disks             eastasia            StandardSSD_LRS                  None
disks             eastasia            StandardSSD_LRS                  None
disks             eastasia            StandardSSD_LRS                  None
disks             eastasia            StandardSSD_LRS                  None
disks             eastasia            StandardSSD_LRS                  None
disks             eastasia            StandardSSD_LRS                  None
disks             eastasia            StandardSSD_LRS                  None
disks             eastasia            StandardSSD_LRS                  None
disks             eastasia            StandardSSD_LRS                  None
disks             eastasia            StandardSSD_LRS                  None
